model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
qwen-3b_newlayout,energy,sst2,movie,avg,E,0.7585,0.7547073485797242,0.8001,0.7988573889011605,0.04160000000000008,0.044150040321436324,improve,improve,10000.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,fiqasa,finance,avg,I,0.7570332480818415,0.6343998774617803,0.7186700767263428,0.6127829750894782,-0.038363171355498715,-0.02161690237230207,decline,decline,1173.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,imdb,movie,avg,I,0.9315,0.93143453300646,0.9247,0.9245492425961388,-0.006800000000000028,-0.006885290410321154,decline,decline,10000.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,imdb_sklearn,movie,avg,I,0.9195,0.9192950359506324,0.9184,0.918185140990316,-0.0010999999999999899,-0.0011098949603164376,tie,tie,10000.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,mental,mental,avg,I,0.899549563738306,0.899497582631908,0.8664125744164803,0.8662239948028801,-0.03313698932182563,-0.033273587829027895,decline,decline,31747.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,news,finance,avg,I,0.7816612186740424,0.7485947871882003,0.801357807392507,0.7495360996063801,0.01969658871846458,0.0009413124181798516,improve,tie,11931.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,sst2,movie,avg,I,0.7585,0.7547073485797242,0.7148,0.7061132160909569,-0.04369999999999996,-0.048594132488767317,decline,decline,10000.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,execution,fiqasa,finance,avg,J,0.7570332480818415,0.6343998774617803,0.7894288150042625,0.6354356250639531,0.03239556692242107,0.001035747602172843,improve,tie,1173.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,imdb,movie,avg,J,0.9315,0.93143453300646,0.9319,0.9318390634411068,0.00039999999999995595,0.0004045304346468326,tie,tie,10000.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,imdb_sklearn,movie,avg,J,0.9195,0.9192950359506324,0.9296,0.9295239009464108,0.010099999999999998,0.010228864995778353,improve,improve,10000.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,mental,mental,avg,J,0.899549563738306,0.899497582631908,0.867735534066211,0.8675636630440682,-0.03181402967209501,-0.031933919587839865,decline,decline,31747.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,news,finance,avg,J,0.7816612186740424,0.7485947871882003,0.7817450339451848,0.7466888180904507,8.381527114242893e-05,-0.001905969097749538,tie,tie,11931.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,sst2,movie,avg,J,0.7585,0.7547073485797242,0.7705,0.7674134795597936,0.01200000000000001,0.012706130980069341,improve,improve,10000.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,fiqasa,finance,avg,P,0.7570332480818415,0.6343998774617803,0.7297527706734868,0.6228626850946063,-0.02728047740835471,-0.011537192367173987,decline,decline,1173.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,imdb,movie,avg,P,0.9315,0.93143453300646,0.9308,0.9307401345426932,-0.0007000000000000339,-0.0006943984637667322,tie,tie,10000.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,imdb_sklearn,movie,avg,P,0.9195,0.9192950359506324,0.9268,0.9267127691626648,0.007299999999999973,0.007417733212032318,improve,improve,10000.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,mental,mental,avg,P,0.899549563738306,0.899497582631908,0.8706019466406275,0.8704982552698288,-0.028947617097678457,-0.02899932736207922,decline,decline,31747.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,news,finance,avg,P,0.7816612186740424,0.7485947871882003,0.7985080881736653,0.7472150315428562,0.016846869499622885,-0.001379755645344094,improve,tie,11931.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,execution,sst2,movie,avg,P,0.7585,0.7547073485797242,0.7454,0.7406896278802304,-0.0131,-0.014017720699493808,decline,decline,10000.0,qwen-3b_newlayout/execution/summaries/sentiment.csv
qwen-3b_newlayout,information,fiqasa,finance,avg,N,0.7570332480818415,0.6343998774617803,0.7595907928388747,0.6378668580738237,0.002557544757033181,0.0034669806120434243,tie,tie,1173.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,imdb,movie,avg,N,0.9315,0.93143453300646,0.9338,0.9337673579046696,0.0022999999999999687,0.002332824898209629,tie,tie,10000.0,qwen-3b_newlayout/information/summaries/sentiment.csv
qwen-3b_newlayout,information,imdb_sklearn,movie,avg,N,0.9195,0.9192950359506324,0.9295,0.9294884086045874,0.010000000000000009,0.010193372653954924,improve,improve,10000.0,qwen-3b_newlayout/information/summaries/sentiment.csv
