model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
qwen-7b_newlayout,energy,I,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.22626724183648367,0.06081454248591085,0.00292164734767446
qwen-7b_newlayout,energy,I,news,stuart_maxwell,2,2,1.0,3.2976603525300046e-80,3.2976603525300046e-80,3.2976603525300046e-80,0.12385206506623196,0.02916771435755599,0.0007699949317662227
qwen-7b_newlayout,energy,I,sst2,stuart_maxwell,2,2,1.0,2.4169539555852844e-34,2.4169539555852844e-34,2.4169539555852844e-34,0.08798033025085283,0.014199999999999997,0.0001590633737207749
qwen-7b_newlayout,execution,J,fiqasa,stuart_maxwell,2,2,1.0,6.825603376334866e-08,6.825603376334866e-08,6.825603376334866e-08,0.1186022603649815,0.02813299232736574,0.0006895881894961164
qwen-7b_newlayout,execution,J,imdb,stuart_maxwell,2,2,1.0,0.010431376298345108,0.010431376298345108,0.010431376298345108,0.02136103242574446,0.0014999999999999788,2.432387352904286e-05
qwen-7b_newlayout,execution,J,imdb_sklearn,stuart_maxwell,2,2,1.0,1.0404212719951062e-10,1.0404212719951062e-10,1.0404212719951062e-10,0.04794395189132775,0.00670000000000001,0.0004367827259050802
qwen-7b_newlayout,execution,J,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.21784858363534576,0.057573702354580036,0.0026126245322474467
qwen-7b_newlayout,execution,J,news,stuart_maxwell,2,2,1.0,4.7421811523724566e-67,4.7421811523724566e-67,4.7421811523724566e-67,0.1131370494455938,0.02288156902187577,0.0004571943024782657
qwen-7b_newlayout,execution,J,sst2,stuart_maxwell,2,2,1.0,3.4115430773420722e-18,3.4115430773420722e-18,3.4115430773420722e-18,0.06341874089699512,0.006900000000000007,0.00019609191526583688
qwen-7b_newlayout,execution,P,fiqasa,stuart_maxwell,2,2,1.0,1.522997974471264e-08,1.522997974471264e-08,1.522997974471264e-08,0.1238760208523001,0.03069053708439895,0.0007873472335357262
qwen-7b_newlayout,execution,P,imdb,stuart_maxwell,2,2,1.0,0.003998887304499968,0.003998887304499968,0.003998887304499968,0.023498381072820276,0.0014000000000000345,9.811962986528143e-06
