dataset,df,effect_cramers_v,effect_js,effect_tv,labels,model,model_root,n_dropped,n_total,n_used,p_value,pair,run,source_file,statistic,test
sst2,2,0.20581275462034324,0.012240181034222457,0.07519999999999999,positive|negative|neutral,N,llama-3b_newlayout,0,10000,10000,1.0906321331030165e-184,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,847.1777992882724,stuart_maxwell
sst2,2,0.24415615175227612,0.023160529536812545,0.11960000000000001,positive|negative|neutral,S,llama-3b_newlayout,0,10000,10000,1.2805308271224468e-259,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1192.2445287696096,stuart_maxwell
sst2,2,0.2405398073700082,0.023099516187081334,0.11600000000000005,positive|negative|neutral,S,llama-3b_newlayout,0,10000,10000,5.2459383968373e-252,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1157.187978592013,stuart_maxwell
imdb,2,0.16509006933804124,0.0027315800925023725,0.054500000000000014,positive|negative|neutral,NF,llama-3b_newlayout,0,10000,10000,4.3073209688530346e-119,ST-NF,run-001,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,545.0946198807853,stuart_maxwell
imdb,2,0.16784513405164725,0.0034704318060619225,0.05619999999999999,positive|negative|neutral,NF,llama-3b_newlayout,0,10000,10000,4.4730754407449404e-123,ST-NF,run-002,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,563.4397804963087,stuart_maxwell
imdb,2,0.16218223844526228,0.004044705313014013,0.05279999999999998,positive|negative|neutral,ST,llama-3b_newlayout,0,10000,10000,5.850347277495003e-115,ST-NF,run-001,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,526.0615693423182,stuart_maxwell
imdb,2,0.15991565862871981,0.00419689107547523,0.05139999999999999,positive|negative|neutral,ST,llama-3b_newlayout,0,10000,10000,8.66551771102956e-112,ST-NF,run-002,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,511.4603574931449,stuart_maxwell
mental,1,0.07017045391414797,0.0005042495402954152,0.018120648879117934,normal|depression,NF,llama-3b_newlayout,1726,31747,30021,2.6918946107268347e-34,ST-NF,run-001,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,2002.0,mcnemar_exact
mental,1,0.04577933921774457,0.00021024903542414975,0.011789319872476098,normal|depression,NF,llama-3b_newlayout,1635,31747,30112,1.985113346717787e-15,ST-NF,run-002,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,1997.0,mcnemar_exact
mental,1,0.5356225900803824,0.07595909377940015,0.2883203341709363,normal|depression,ST,llama-3b_newlayout,1104,31747,30643,0.0,ST-NF,run-001,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,8879.0,mcnemar_exact
mental,1,0.5505481743971635,0.08346422680661239,0.30420501479722917,normal|depression,ST,llama-3b_newlayout,998,31747,30749,0.0,ST-NF,run-002,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,9388.0,mcnemar_exact
news,2,0.380935799405164,0.0655279834564312,0.29067136032185065,neutral|bearish|bullish,NF,llama-3b_newlayout,0,11931,11931,0.0,ST-NF,run-001,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,3462.664530951786,stuart_maxwell
news,2,0.38168029788857877,0.06586857098580945,0.29184477411784426,neutral|bearish|bullish,NF,llama-3b_newlayout,0,11931,11931,0.0,ST-NF,run-002,llama-3b_newlayout/ST-NF/summaries/sentiment_significance.csv,3476.2125758396496,stuart_maxwell
